taxroll_number,effective_build_year,net_area,basement_finished,has_fireplace,assessed_value,fully_complete,lot_size,walkout_basement,air_conditioning,site_coverage,lon,lat,valuation_group_residential.south
10038391,2006,172.7,0,1,510000,1,368.799,0,0,0.31,-113.5644597,53.44947006,1
10038390,2006,183.5,0,1,532000,1,451.145,0,0,0.26,-113.5647111,53.44943503,1
10038389,2006,195.6,1,1,582000,1,709.151,0,0,0.18,-113.5649627,53.44943594,1
10038392,2006,174.1,0,1,494500,1,587.543,0,0,0.19,-113.5651033,53.44955777,1
10038388,2006,206.6,0,1,526000,1,433.132,0,0,0.33,-113.5650265,53.44971924,1
10038387,2006,174.3,1,1,489500,1,404.07,0,0,0.27,-113.565005,53.44984946,1
10038386,2006,176,0,1,479000,1,406.914,0,0,0.28,-113.565005,53.4499528,1
10038385,2006,193.7,0,1,550000,1,411.622,0,0,0.31,-113.5650025,53.45005613,1
10038384,2006,183.7,0,1,510500,1,429.585,0,0,0.28,-113.5649908,53.45015943,1
10038374,2006,254.2,1,1,687500,1,435.924,0,0,0.39,-113.5641702,53.45015195,1
10038383,2006,203,0,1,532000,1,424.771,0,0,0.3,-113.5649907,53.45026726,1
10038375,2006,175.5,0,1,523500,1,407.887,0,0,0.28,-113.5641483,53.4502597,1
10038382,2005,199.5,1,1,580500,1,453.495,0,0,0.29,-113.5650276,53.4503977,1
10038376,2006,179,0,1,527000,1,381.783,0,0,0.32,-113.5641058,53.45037187,1
10038381,2006,183.7,1,1,547500,1,647.398,0,0,0.18,-113.5651058,53.4505777,1
10038380,2006,172,0,1,528000,1,779.011,0,0,0.15,-113.5649566,53.45069398,1
10038377,2006,210.3,1,1,652500,1,730.733,0,0,0.2,-113.5641569,53.45056526,1
10038379,2006,209.3,0,1,614000,1,535.272,0,0,0.26,-113.5646546,53.45066592,1
10038378,2006,185.4,0,1,626000,1,731.344,0,0,0.21,-113.5643357,53.45065128,1
10041707,2006,216.1,0,1,617000,1,531.542,0,0,0.26,-113.5621309,53.44947952,1
10038421,2006,174.3,1,1,533500,1,411.031,0,0,0.28,-113.5621374,53.44961433,1
10038420,2006,236.1,1,1,661500,1,405.475,0,0,0.4,-113.5621411,53.44971769,1
10038419,2006,197.3,0,1,559000,1,426.483,0,0,0.31,-113.5621412,53.44982103,1
10038365,2006,174.2,0,1,526000,1,468.658,0,0,0.24,-113.562939,53.44986439,1
10038418,2006,183.2,0,1,532500,1,425.024,0,0,0.27,-113.5621411,53.44993785,1
10038364,2006,174.3,0,1,523500,1,426.791,0,0,0.27,-113.5629237,53.44999014,1
10038363,2006,115.1,1,1,535000,1,405.787,0,0,0.39,-113.5629237,53.45009797,1
10038362,2006,236.2,0,1,638500,1,426.761,0,0,0.38,-113.5629237,53.4502058,1
10038361,2006,196.2,0,1,565000,1,453.12,0,0,0.3,-113.5629316,53.45032265,1
10041200,2006,205.2,1,1,711500,1,715.546,0,0,0.2,-113.5627563,53.44450349,1
10041118,2006,155,1,1,733500,1,586.428,0,0,0.38,-113.5636265,53.44450667,1
10041126,2006,160.1,1,1,728000,1,554.334,0,0,0.36,-113.5626971,53.444355,1
10041119,2006,156.1,1,1,704000,1,540.235,0,0,0.37,-113.5636427,53.44436295,1
10041125,2006,247.2,0,1,744500,1,574.992,0,0,0.33,-113.5626395,53.44418855,1
10041120,2006,249.9,1,1,804500,1,581.725,1,0,0.27,-113.5636944,53.4441924,1
10041124,2006,160.9,1,1,833500,1,1000.569,1,0,0.22,-113.5627268,53.44399791,1
10041121,2007,296.6,0,1,935500,1,1029.311,1,0,0.23,-113.5636138,53.44399666,1
10041123,2006,248.9,1,1,817000,1,674.223,1,0,0.25,-113.5629518,53.44395605,1
10041122,2006,261.3,0,1,767000,1,652.52,0,0,0.28,-113.5633849,53.44395539,1
10060676,2006,127.8,1,1,634000,1,459.287,0,1,0.37,-113.5599874,53.4445113,1
10041202,2005,134.4,1,1,659500,1,526.469,1,0,0.34,-113.5608344,53.44451441,1
10041199,2005,133.6,1,1,629000,1,446.098,0,0,0.39,-113.5599999,53.44439003,1
10041179,2005,134.3,1,1,667000,1,502.376,1,0,0.36,-113.5608251,53.44438857,1
10041198,2005,113.6,1,1,576500,1,456.107,0,0,0.34,-113.5600059,53.44427323,1
10041180,2006,128.8,1,1,621000,1,507.222,1,0,0.34,-113.5608226,53.44427174,1
10041197,2006,134.7,1,1,653000,1,460.839,0,0,0.39,-113.5600088,53.44415642,1
10041181,2006,134.6,1,1,631000,1,503.589,1,0,0.36,-113.5608252,53.44415943,1
10041196,2006,133.6,1,1,632500,1,466.728,0,0,0.38,-113.5600126,53.44403962,1
10041182,2006,128.8,1,1,653000,1,497.622,1,0,0.35,-113.560829,53.44404262,1
10041195,2006,128.8,1,1,604500,1,474.074,0,0,0.36,-113.5600172,53.44392281,1
10041183,2006,134.4,1,1,680000,1,490.207,1,0,0.37,-113.5608336,53.44392582,1
10041194,2006,129,1,1,626000,1,482.909,0,0,0.36,-113.5600226,53.44380601,1
10041184,2006,134.6,1,1,665500,1,481.358,1,0,0.37,-113.560839,53.44380902,1
10041193,2006,129,1,1,641000,1,489.102,0,0,0.35,-113.5600285,53.44368922,1
10041185,2006,133.5,1,1,637000,1,471.345,0,1,0.38,-113.5608453,53.44369222,1
10041192,2006,113.6,1,1,579000,1,429.026,0,0,0.37,-113.5599895,53.44357225,1
10041186,2006,128.8,1,1,656000,1,445.83,1,0,0.39,-113.5608654,53.44357548,1
10041191,2006,134.3,1,1,727000,1,703.932,1,0,0.25,-113.5599964,53.4433656,1
10041187,2006,128.8,1,1,680500,1,752.872,1,0,0.23,-113.5608558,53.44336427,1
10041190,2006,135.4,1,1,728000,1,893.322,1,0,0.2,-113.5600511,53.44317709,1
10041188,2007,129,1,1,673500,1,915.616,0,0,0.19,-113.5608021,53.44317536,1
